x,H,H2,OH,HO2,H2O2,N2,O,O2,Al,AlH,AlH3,AlH2,Al2O3(L),H2O,AlO,OAlO,AlOH,Al2O3,Al2O3c,AlOAl,AlOAlO,AR,T,rho,p
0.0006129986844480241,0.01591174584324393,0.01003927482655502,0.003326939660528143,9.142247932457943e-08,1.684388471588104e-09,0.2517172622524306,0.005593306312251713,9.780522355535484e-05,0.1561469516611481,0.003593938307840131,3.105575784981576e-08,4.10439687816351e-06,0.4660447056801849,0.001963892782790147,0.01371591212323696,2.348696888779172e-06,0.001335224159722236,1.208441806694032e-12,1.202917565098319e-12,0.0701024551402899,0.0004040087674185047,5.741389952629816e-16,3825.328123039683,0.07538414745421851,101325
0.0006158976070751202,0.01596971351767589,0.01011855310930041,0.003445896764127176,9.762428341128616e-08,1.80540887460625e-09,0.2530070524511827,0.005767631608096984,0.0001040206259621493,0.1526634235360712,0.003527391046185057,3.071265845689127e-08,4.042954184189362e-06,0.4685879560962511,0.002043870232304718,0.01383977590890978,2.441432566068015e-06,0.00135153480050089,1.263470690864329e-12,1.257730408237153e-12,0.0691560522032291,0.0004105135685800751,5.77055281183146e-16,3825.11828240344,0.0753015761434398,101325
0.000618801561704303,0.01602591260460155,0.01019829265075927,0.003568230685532279,1.041918089157313e-07,1.933550893950757e-09,0.2542842509072437,0.005945350510688552,0.0001105823378832706,0.1492241902297924,0.003461474233970358,3.037042712132228e-08,3.981734746865425e-06,0.4711068817969187,0.002126840034175784,0.01395961942122138,2.536226171105517e-06,0.001367668302712016,1.319862407826075e-12,1.313909394099374e-12,0.06819711060879871,0.0004169412163626554,5.799511892068585e-16,3824.865325043832,0.07522045713135164,101325
0.0006217105570702115,0.01608032418784607,0.01027849169473568,0.003694019224134162,1.111452094201461e-07,2.06924069030165e-09,0.2555487662101277,0.006126476760761075,0.0001175077876738145,0.1458292713763538,0.003396187046471663,3.002903671379723e-08,3.920744100765941e-06,0.4736008023237519,0.002212914468626044,0.01407535859094136,2.633081954680847e-06,0.001383613565612669,1.377603615340865e-12,1.371442052500921e-12,0.06722628559869556,0.0004232840919766739,5.828266675815054e-16,3824.569635258734,0.07514078565336636,101325
0.0006246246019226476,0.01613292912288097,0.01035914828649507,0.003823341785551143,1.18505382731291e-07,2.21291585752233e-09,0.2568005107561178,0.006311023108392716,0.0001248151815469628,0.1424786805186425,0.003331528720054258,2.96884553264716e-08,3.859987584156788e-06,0.4760690228380823,0.002302210363757762,0.01418690861146017,2.732000270858469e-06,0.001399360205268625,1.436676185447603e-12,1.430311200888366e-12,0.06624424356181255,0.0004295345424606095,5.856816689337911e-16,3824.231562821881,0.07506256071144693,101325
0.0006275437050266022,0.01618370802197088,0.01044026024759512,0.003956279333408112,1.262939315784241e-07,2.36502243984633e-09,0.2580394006355441,0.006499001193558077,0.0001325235385444099,0.1391724256719691,0.003267498550794708,2.934865241364747e-08,3.799470291394364e-06,0.4785108339594404,0.002394849284445915,0.01429418366891269,2.832974460439592e-06,0.001414898630880604,1.497059372648534e-12,1.49049709933745e-12,0.0652516607712168,0.0004356860363726204,5.885161498114002e-16,3823.85142535322,0.07498582304717463,101325
0.0006304678751622778,0.01623264124423208,0.01052182515247672,0.004092914330692372,1.345331118624834e-07,2.526011947061198e-09,0.25926535558179,0.006690421462341337,0.0001406527268620963,0.1359105099091487,0.003204095889969753,2.900959985240732e-08,3.739197044611362e-06,0.4809255117488923,0.002490957728098635,0.01439709665914263,2.935988747669939e-06,0.001430220129655805,1.558732405329966e-12,1.551980021332148e-12,0.06424922211607331,0.0004417340629970548,5.913300704033486e-16,3823.429509559641,0.07491063045680099,101325
0.0006333971211251186,0.01627970888585492,0.01060384030492764,0.00423333066474205,1.43245745623254e-07,2.696337178238288e-09,0.2604782989858818,0.006885293125894807,0.0001492235007203655,0.1326929319809362,0.003141320127469228,2.867126865326784e-08,3.679172365482408e-06,0.4833123177352355,0.002590667329307678,0.0144955585799198,3.041017796073087e-06,0.001445317057030802,1.621679524373241e-12,1.614745241282129e-12,0.06323761970374148,0.0004476772115873481,5.941233942853074e-16,3822.966072053077,0.07483695998144686,101325
0.0006363314517258389,0.01632489077154672,0.01068630271206903,0.004377613544245445,1.524550644492382e-07,2.876444395901286e-09,0.2616781579982072,0.007083624188154581,0.0001582575365212193,0.1295196870167388,0.003079170662321218,2.833362439966774e-08,3.619400492059259e-06,0.4856704988737464,0.002694115077569527,0.01458947726899622,3.148031347233574e-06,0.001460183250021066,1.685882817409915e-12,1.67877596001299e-12,0.06221755113659171,0.0004535188629330427,5.968960879652009e-16,3822.461339976696,0.07476472590825753,101325
0.0006392708757904446,0.01636816678360402,0.01076920921370246,0.00452584978115908,1.621855286458371e-07,3.067002106102362e-09,0.2628648682379182,0.007285424013973869,0.0001677774926104443,0.1263907703138163,0.003017646954996091,2.799658526610248e-08,3.559885532343271e-06,0.4879992964067537,0.002801443526922334,0.01467875986039723,3.257107244762715e-06,0.001474814830941546,1.751320475538642e-12,1.744051192142909e-12,0.06118971791274575,0.0004592444250697331,5.996481306371341e-16,3821.915427623501,0.07469390993159478,101325
0.0006422154021602603,0.01640951725760532,0.01085255605553572,0.004678129824777781,1.724690596098109e-07,3.269299015473817e-09,0.2640383715170811,0.007490702344098724,0.0001778072149445586,0.1233061757749776,0.002956748838221809,2.765990593891311e-08,3.500632875308814e-06,0.4902979414665134,0.002912800574331586,0.01476334725222019,3.368402669822593e-06,0.001489192126830352,1.817890986031982e-12,1.810470231643256e-12,0.06015483882320622,0.0004647984922170132,6.023795082569733e-16,3821.328236674265,0.07462459686237836,101325
0.0006451650396919603,0.01644892303516035,0.01093633805564116,0.004834548722966604,1.833503525609067e-07,3.484811482714679e-09,0.2651986070266877,0.007699454326855383,0.0001883719656928196,0.1202658720304829,0.002896477042737549,2.732331901545577e-08,3.441651880513331e-06,0.4925656390960484,0.003028338466357926,0.01484323514848053,3.481925849474037e-06,0.00150327078639914,1.885402392731974e-12,1.877842756213419e-12,0.05911365870791537,0.0004701278485971964,6.050901941858621e-16,3820.699671968545,0.07455688648675508,101325
0.0006481197972575915,0.01648636512571845,0.01102054929242706,0.00499520148995357,1.94876952185516e-07,3.714464679277389e-09,0.2663455172918811,0.007911656752242195,0.0001994980482496316,0.1172697883652178,0.002836833122627201,2.698680934318857e-08,3.382955049123471e-06,0.4948015811716982,0.003148213202631283,0.014918419916547,3.597587607786067e-06,0.001517015984654914,1.953733631231326e-12,1.94604934593882e-12,0.0580669359699808,0.0004752181413873051,6.077801639918259e-16,3820.029913921143,0.0744907986770699,101325
0.0006510796837446006,0.01652182400533699,0.01110518422647921,0.00516017943698099,2.070879901214922e-07,3.958880828555401e-09,0.2674790536307612,0.008127286357863096,0.0002112122207869935,0.114317840032631,0.00277781861816816,2.665048184228878e-08,3.324553639531637e-06,0.49700495661048,0.003272585430911254,0.01498885937521411,3.715330116400368e-06,0.001530416251304421,2.022831861530736e-12,2.015038397647095e-12,0.05701543735125501,0.0004800688666803748,6.104494069031534e-16,3819.319285715943,0.0744262547885729,101325
0.0006540447080558617,0.01655527952993849,0.01119023743516208,0.005329572831412247,2.200177914614493e-07,4.218771428443558e-09,0.2685991730466766,0.00834632678168492,0.0002235418813703442,0.1114099528743731,0.002719434635176061,2.631438542179733e-08,3.266456088621058e-06,0.4991749448629453,0.003401621908869783,0.01505449064242209,3.835106708721659e-06,0.001543466160805006,2.092627819481326e-12,2.084741945911854e-12,0.05595992902211878,0.0004846762691215516,6.130979172726927e-16,3818.568034098933,0.07436318267707441,101325
0.0006570148791097026,0.01658671133281216,0.01127570302383898,0.005503473620434362,2.337016437844442e-07,4.494928126840196e-09,0.2697058374633634,0.00856876317263376,0.0002365155372467653,0.1085460654960395,0.002661682003158056,2.597853655560777e-08,3.208669083656806e-06,0.501310715246489,0.003535496419065456,0.01511524567040153,3.956871433855678e-06,0.001556159460330958,2.163043300747194e-12,2.155083134062241e-12,0.05490116556143668,0.0004890362728046853,6.157256928502728e-16,3817.776293641241,0.07430163423510394,101325
0.000659990205839932,0.0166160989964245,0.01136157441982872,0.005681975582771056,2.481768014932641e-07,4.78820852635314e-09,0.2707990137618106,0.008794579606396256,0.0002501629893284038,0.1057261251583753,0.002604561440779035,2.564293469572391e-08,3.151198362835053e-06,0.5034114279863118,0.003674390067973646,0.01517105495852137,4.080574261383579e-06,0.001568488938574418,2.233993713351474e-12,2.225978749262424e-12,0.05383989085966726,0.0004931448482081398,6.183327350468705e-16,3816.944108313159,0.07424172157868414,101325
0.0006629706971958662,0.01664342215595094,0.01144784429784071,0.00586517396850955,2.634827073857879e-07,5.099531522172651e-09,0.2718786740102536,0.009023757730093646,0.0002645153949738354,0.1029500840066797,0.002548073664313635,2.530757018011492e-08,3.094049207935078e-06,0.5054762353798693,0.00381849127408061,0.01522184943357299,4.206160174786224e-06,0.001580446612473385,2.305388669436424e-12,2.297339802965107e-12,0.05277683998637789,0.0004969979812150198,6.209190492325754e-16,3816.07145186175,0.07418346136624182,101325
0.0006659563621423544,0.01666866057952795,0.01153450455132289,0.006053165244017467,2.796611074818202e-07,5.429877536870511e-09,0.2729447960111149,0.009256276146871769,0.0002796053233652994,0.1002178973240867,0.002492219410032512,2.497242594071148e-08,3.037226534440781e-06,0.5075042836735917,0.003967995843470264,0.01526756028132212,4.333569568887917e-06,0.001592023819187494,2.377132031322674e-12,2.369071575282775e-12,0.05171273933003169,0.000500591597795994,6.234846457367391e-16,3815.158238344127,0.07412678069795721,101325
0.0006689472096598084,0.01669179425181941,0.01162154631359556,0.006246046409545226,2.967559215034694e-07,5.780284788998328e-09,0.2739973636955807,0.00949210964075712,0.0002954667085293321,0.09752951896934738,0.002436999512115125,2.463748244936014e-08,2.980735252638784e-06,0.5094947143866122,0.004123106555303882,0.01530812041748724,4.462739740693997e-06,0.001603211580985156,2.449122605037117e-12,2.441074294780021e-12,0.05064830922202742,0.0005039216827212917,6.26029540287335e-16,3814.204342575666,0.07407167154231875,101325
0.0006719432487442289,0.01671280321717489,0.01170895978239178,0.006443914661478322,3.148133118406273e-07,6.151851051725889e-09,0.275036364405338,0.009731228747675711,0.0003121348889491218,0.09488490035938925,0.002382415024227279,2.43027265710282e-08,2.924580914150303e-06,0.5114466605828624,0.004284033214793844,0.01534346895590501,4.593598114483814e-06,0.00161400107673612,2.521253510144219e-12,2.513242500964825e-12,0.04958426749057363,0.0005069841405514015,6.285537476483722e-16,3813.209619466575,0.07401822237439051,101325
0.0006749444884072309,0.01673166782259525,0.01179673429942755,0.006646866890748405,3.338815721693928e-07,6.545730234768536e-09,0.2760617914225378,0.009973599333471337,0.0003296465535657879,0.09228398863179758,0.002328467170862252,2.396814744596995e-08,2.868769365242684e-06,0.5133592517841787,0.00445099237156561,0.01537354940988853,4.726065947947878e-06,0.001624383443528519,2.593412318533533e-12,2.585465163733012e-12,0.04852132664553745,0.0005097749843527204,6.31057286798518e-16,3812.173901110112,0.07396647349183544,101325
0.0006779509376760723,0.0167483690936512,0.0118848584676016,0.006854999088048408,3.540109859325259e-07,6.963126334036639e-09,0.2770736476697694,0.01021918210323827,0.0003480396952739255,0.08972672393449407,0.002275157331306473,2.363373427274046e-08,2.813306537138264e-06,0.5152316198167772,0.004624206967939641,0.01539830600667805,4.860069774192094e-06,0.001634349693399158,2.665484902590069e-12,2.657629527973514e-12,0.04746019155761814,0.0005122905847227133,6.335401877060248e-16,3811.096991084125,0.07391638530118758,101325
0.0006809626055936811,0.01676288841691129,0.01197331985323407,0.007068406580549226,3.752541517168884e-07,7.40530153685617e-09,0.2780719421872589,0.01046793279796425,0.0003673537598100147,0.08721304335295574,0.002222487106585695,2.329947051448251e-08,2.758198903209987e-06,0.517062893607964,0.004803907024624881,0.0154176858813304,4.995529163529216e-06,0.001643890711427757,2.737353788168498e-12,2.729619475911286e-12,0.04640156165579589,0.0005145273711295056,6.360024823392765e-16,3809.978672084293,0.07386790304935133,101325
0.0006839795012186813,0.01677520767718271,0.01206210507245941,0.007287183205561884,3.976656913467121e-07,7.873573039024897e-09,0.2790566922391029,0.01071980154473021,0.0003876294836676517,0.08474287678232062,0.002170458217504233,2.296534074246507e-08,2.703453169193713e-06,0.5188522033167721,0.004990328921691121,0.01543164170377953,5.132353025348152e-06,0.00165299735656106,2.808895922966539e-12,2.801313247469031e-12,0.04534612805854249,0.0005164821037136434,6.384442084500437e-16,3808.818716075461,0.07382105749908277,101325
0.0006870016336254212,0.01678530956151864,0.01215119979496252,0.007511421021498931,4.213022761949158e-07,8.369321811443248e-09,0.2800279263543582,0.01097473274414355,0.0004089089235708513,0.08231614585647362,0.002119072491036573,2.263134871275132e-08,2.649076111676907e-06,0.5205986841598801,0.005183715370849579,0.01544013142406457,5.270447215613336e-06,0.001661660691553616,2.879985411177749e-12,2.872586178333536e-12,0.04429456821546378,0.000518151558598293,6.408654135561303e-16,3807.616869406351,0.07377599234578378,101325
0.0006900290119040015,0.01679317306245116,0.01224052088720001,0.007741033352818845,4.462032186558952e-07,8.893565451697803e-09,0.2809849679599867,0.01123246871044844,0.000431218025704588,0.07993453108287739,0.002068369613628572,2.229774847677274e-08,2.595115269790057e-06,0.5223002216531529,0.005384159534376534,0.01544311976133778,5.409609087814338e-06,0.001669866043044768,2.950446723021596e-12,2.943263754060102e-12,0.04324833469812144,0.0005195334900662905,6.432643518946277e-16,3806.374997519216,0.07373277613213822,101325
0.0006930616451603015,0.01679878114801315,0.01233002592606613,0.007976040418524061,4.724222732664446e-07,9.447752130864896e-09,0.2819275926736323,0.0114928678711115,0.000454594887736881,0.07759860532551359,0.002018364964207611,2.196462657673257e-08,2.541592482617003e-06,0.5239554898015211,0.00559185689673695,0.01544057686897391,5.549692357141637e-06,0.001677603215315689,3.020113319690135e-12,3.013180482697024e-12,0.04220838299878082,0.0005206218783405024,6.456403966391616e-16,3805.093633039739,0.07369131562604693,101325
0.0006960995425160054,0.01680212698668677,0.01241983153329797,0.00821688136195695,5.000625682726597e-07,1.003440709244129e-08,0.2828572543532936,0.01175624868587899,0.0004791210287208242,0.07530477460222859,0.001968985670304686,2.163148655874324e-08,2.488434963395734e-06,0.5255661235187514,0.005807382483160345,0.01543246649278705,5.690793317943646e-06,0.001684875669621107,3.08893455855247e-12,3.082287146687645e-12,0.04117380510502429,0.0005214115453722314,6.479971715371866e-16,3803.76825898337,0.07365147972808775,101325
0.0006991427131086301,0.0168031986911194,0.01250990260641389,0.008463588804140451,5.291827753319245e-07,1.065500075121737e-08,0.2837738413862987,0.01202248152673033,0.0005048381369805704,0.07305328679580739,0.001920243318455427,2.129840613165863e-08,2.435660691787758e-06,0.5271310733789836,0.006030955964176569,0.01541876859241799,5.832769449322573e-06,0.001691673853950357,3.156762488572587e-12,3.150436642141519e-12,0.04014541526485119,0.0005219021070429664,6.503343533838888e-16,3802.399115488307,0.07361332973656995,101325
0.0007021911660915572,0.01680198112207662,0.01260008558513178,0.008715878796027844,5.598076721573415e-07,1.131027321982454e-08,0.2846760498227029,0.01229108786431246,0.000531757337826936,0.07084737632738224,0.001872212429690306,2.096589305263434e-08,2.383355957591267e-06,0.5286471867880993,0.006262522502716577,0.01539948329153544,5.975291378763253e-06,0.001697979403871149,3.223365737161035e-12,3.217397993902265e-12,0.03912535536048176,0.0005220926305285545,6.526485387491742e-16,3800.990116684681,0.07357707825367904,101325
0.0007052449106340556,0.01679846140366925,0.01269043689013789,0.008974046387147586,5.920337553251898e-07,1.200257815131296e-08,0.285564739135109,0.01256220895424884,0.000559952351321596,0.06868501541562774,0.00182485158554537,2.063367485800632e-08,2.331481854946684e-06,0.5301149476089041,0.006502563765490318,0.0153745776995162,6.118354118899168e-06,0.001703790515635184,3.288662036273827e-12,3.283090047709402e-12,0.03811335247240762,0.0005219813026847264,6.549417908636479e-16,3799.538532892505,0.07354276335031187,101325
0.0007083039559213078,0.01679262325743814,0.01278106615840553,0.009238543473404746,6.259808090411217e-07,1.273482382739309e-08,0.2864412820515407,0.0128361443188924,0.0005895165312528512,0.06656291130319528,0.001778093776060168,2.030128592531367e-08,2.279970646843316e-06,0.5315357012856774,0.006751720383925452,0.01534399770665309,6.262032965505429e-06,0.001709107798185848,3.352599806927706e-12,3.34746251413435e-12,0.03710852365513552,0.000521567273000958,6.572175546269555e-16,3798.03993599823,0.07351026237501293,101325
0.0007113683111544429,0.01678445369055933,0.01287194311953102,0.009509429646048416,6.617236745141103e-07,1.350897171030596e-08,0.2873056569824069,0.01311277355139092,0.0006205031930793111,0.0644811545719347,0.001731948517193856,1.996875191205068e-08,2.228837837612084e-06,0.5329084995021348,0.00701028264461854,0.01530772209306079,6.406178636985286e-06,0.001713921545991741,3.415031362323144e-12,3.410368316545097e-12,0.03611152934528222,0.0005208513720685831,6.594757454279129e-16,3796.494217145928,0.07347948493829827,101325
0.0007144379855505615,0.01677394685120982,0.01296297589387824,0.00978658111218916,6.993163116649005e-07,1.432682457387771e-08,0.2881572936937142,0.01339178834405109,0.0006529465039275614,0.06244120581143464,0.001686453010639041,1.963630820774085e-08,2.178130263260762e-06,0.5342314991029231,0.007278375557031723,0.01526576057734175,6.550520803927507e-06,0.001718219963878382,3.47571113099115e-12,3.47156186945926e-12,0.03512366741142095,0.0005198242289008026,6.617147850956347e-16,3794.903093506801,0.07345050070717948,101325
0.0007175129883427603,0.01676109758271258,0.01305410682024187,0.01006996963949829,7.388266156787382e-07,1.519031733679205e-08,0.2889959952930556,0.0136729804662066,0.000686892597095858,0.06044363662018887,0.001641624173648265,1.930410652367513e-08,2.12787288407978e-06,0.5355034625664855,0.007556221520450277,0.01521812118512933,6.694854312880789e-06,0.001721994228835768,3.534447204893261e-12,3.530851314399439e-12,0.03414581874672352,0.0005184825044253274,6.639340028281765e-16,3793.267178273642,0.07342346807353808,101325
0.0007205933287801652,0.01674590013098205,0.01314530678030078,0.01035964916203039,7.80335001566484e-07,1.61012679808685e-08,0.2898218578794941,0.01395622441558663,0.0007223986778042783,0.0584882958188116,0.001597464859010095,1.897221570417851e-08,2.078075292689238e-06,0.5367236421732944,0.007844130472114899,0.01516480704821426,6.839043123139983e-06,0.001725237218839032,3.591148802554796e-12,3.588146165629864e-12,0.03317851386647781,0.0005168389629586986,6.661334854040122e-16,3791.586181957401,0.07339838094504358,101325
0.0007236790161279589,0.01672835066987598,0.0132365453791496,0.01065566793234294,8.239243567599922e-07,1.70618010839797e-08,0.2906349886080463,0.01424138919778136,0.0007595231784769149,0.05657502245886067,0.00155397791238583,1.864065875884282e-08,2.028747304498352e-06,0.537891321149393,0.008142417060572893,0.0151058286951746,6.982928759599661e-06,0.001727942374618523,3.645689417283192e-12,3.643319984511622e-12,0.0322222549610857,0.0005148991120654614,6.683133361954916e-16,3789.85977648319,0.0733751595735771,101325
0.0007267700596674047,0.01670844730200286,0.01332779110172997,0.01095806782102108,8.696794260651392e-07,1.807429107782642e-08,0.2914355041706909,0.01452833827277646,0.000798325392782461,0.05470363940071947,0.001511166082313661,1.830943866743881e-08,1.979898823436727e-06,0.5390058172409691,0.008451399365764275,0.01504120383616574,7.126338334982939e-06,0.001730103181061128,3.697915538963922e-12,3.696219040448895e-12,0.03127752367345332,0.0005126608508405706,6.704736766947713e-16,3788.087614540346,0.07335380422358867,101325
